Palabra,Antiguo_Test,Nuevo_Test,Coran,Tora,Upanishads
bestias,111.0,5.0,10.0,40.0,0.0
angel,111.0,100.0,10.0,1.0,0.0
habla,111.0,36.0,19.0,141.0,22.0
amon,111.0,2.0,0.0,124.0,0.0
acerca,111.0,79.0,25.0,206.0,6.0
furor,111.0,4.0,2.0,9.0,0.0
alla,110.0,25.0,14.0,128.0,109.0
madera,110.0,5.0,0.0,114.0,0.0
haga,110.0,31.0,27.0,153.0,1.0
sur,109.0,8.0,0.0,134.0,10.0
tribus,109.0,9.0,6.0,105.0,0.0
polvo,109.0,7.0,11.0,113.0,1.0
mato,108.0,5.0,5.0,106.0,0.0
idolos,108.0,19.0,8.0,122.0,0.0
venir,108.0,68.0,6.0,96.0,6.0
oracion,107.0,36.0,3.0,42.0,7.0
tierras,107.0,5.0,2.0,56.0,1.0
inmundo,107.0,24.0,0.0,6.0,0.0
ciento,107.0,13.0,0.0,102.0,6.0
cronicas,107.0,0.0,0.0,0.0,0.0
jeroboam,106.0,0.0,0.0,0.0,0.0
posesion,106.0,3.0,0.0,105.0,1.0
labios,106.0,6.0,2.0,95.0,1.0
esau,105.0,3.0,0.0,0.0,0.0
alto,105.0,23.0,9.0,148.0,12.0
hice,105.0,6.0,3.0,88.0,0.0
becerro,104.0,5.0,0.0,45.0,0.0
dieron,104.0,31.0,6.0,87.0,0.0
reinado,104.0,1.0,0.0,92.0,0.0
primogenito,104.0,7.0,0.0,70.0,2.0
pecados,103.0,82.0,39.0,225.0,6.0
mia,103.0,9.0,3.0,49.0,1.0
edom,103.0,0.0,0.0,124.0,0.0
lejos,102.0,37.0,13.0,186.0,7.0
bueno,102.0,62.0,23.0,140.0,4.0
ninguna,102.0,53.0,37.0,213.0,6.0
cuerpo,102.0,145.0,7.0,233.0,100.0
acab,101.0,0.0,0.0,0.0,0.0
sacrificios,101.0,15.0,1.0,15.0,4.0
utensilios,101.0,2.0,1.0,58.0,0.0
mejor,101.0,34.0,160.0,160.0,2.0
toma,100.0,26.0,3.0,176.0,4.0
guarda,100.0,19.0,0.0,85.0,2.0
septimo,100.0,10.0,0.0,111.0,0.0
alguna,100.0,42.0,10.0,94.0,0.0
numero,100.0,27.0,13.0,113.0,0.0
enemigo,99.0,11.0,28.0,107.0,0.0
hallado,99.0,26.0,0.0,21.0,4.0
caballos,99.0,10.0,3.0,97.0,11.0
atrio,99.0,1.0,0.0,10.0,0.0
aldeas,99.0,11.0,0.0,86.0,0.0
carnero,98.0,0.0,0.0,108.0,0.0
llevo,98.0,18.0,5.0,103.0,0.0
saco,97.0,11.0,10.0,116.0,0.0
canaan,97.0,2.0,0.0,0.0,0.0
tienda,97.0,0.0,1.0,104.0,0.0
arriba,97.0,21.0,9.0,93.0,0.0
pos,97.0,12.0,1.0,27.0,2.0
morira,97.0,2.0,1.0,51.0,0.0
fuerza,97.0,8.0,15.0,148.0,7.0
viene,96.0,71.0,44.0,174.0,7.0
huesos,96.0,4.0,14.0,101.0,0.0
primero,95.0,85.0,12.0,143.0,7.0
sere,95.0,16.0,4.0,101.0,1.0
derecho,95.0,14.0,14.0,63.0,0.0
generacion,95.0,37.0,1.0,90.0,0.0
llego,95.0,43.0,8.0,138.0,1.0
entrada,94.0,11.0,0.0,141.0,0.0
saber,94.0,41.0,7.0,81.0,8.0
hermana,94.0,17.0,7.0,106.0,0.0
segundo,94.0,19.0,0.0,108.0,5.0
volvieron,94.0,27.0,4.0,53.0,1.0
solamente,94.0,50.0,5.0,106.0,0.0
oye,93.0,29.0,51.0,47.0,16.0
nabucodonosor,93.0,0.0,0.0,0.0,0.0
cr,93.0,0.0,0.0,4.0,0.0
sabio,93.0,10.0,93.0,126.0,26.0
veces,93.0,51.0,12.0,126.0,10.0
limite,93.0,0.0,2.0,21.0,0.0
amor,93.0,145.0,13.0,138.0,47.0
ver,93.0,60.0,53.0,223.0,19.0
tinieblas,93.0,49.0,24.0,46.0,1.0
siclos,92.0,0.0,0.0,1.0,0.0
jefe,92.0,5.0,1.0,123.0,0.0
joven,92.0,17.0,1.0,105.0,1.0
setenta,92.0,7.0,3.0,93.0,1.0
altos,91.0,0.0,2.0,100.0,0.0
sueño,91.0,8.0,13.0,82.0,11.0
josafat,91.0,2.0,0.0,0.0,0.0
bueyes,91.0,4.0,0.0,70.0,0.0
beber,91.0,31.0,20.0,132.0,1.0
vive,90.0,23.0,0.0,138.0,12.0
dan,90.0,16.0,39.0,139.0,3.0
contados,90.0,4.0,4.0,64.0,0.0
projimo,90.0,17.0,0.0,1.0,0.0
